# Rime user dictionary
#@/db_name	wubixinshiji
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1920
#@/user_id	macbookpro
aahw 	工具	c=1 d=1 t=172
adhh 	项目	c=1 d=1 t=410
adlg 	基辅	c=1 d=1 t=1519
adm 	项	c=1 d=1 t=277
adny 	藏	c=1 d=1 t=61
adw 	基	c=1 d=1 t=1027
adwb 	其他	c=2 d=1.00135 t=1732
adwe 	期	c=1 d=1 t=662
adwr 	斯	c=1 d=1 t=233
aedi 	功耗	c=1 d=1 t=467
aerv 	散热	c=1 d=1 t=1617
aes 	菜	c=1 d=1 t=1740
aet 	散	c=1 d=1 t=1616
aeul 	菜单	c=1 d=1 t=22
afs 	某	c=2 d=1.09537 t=1951
agjs 	苹果	c=5 d=1.00381 t=1611
aisg 	东西	c=1 d=1 t=779
ajdr 	草原	c=1 d=1 t=63
ajfj 	草	c=3 d=1.88786 t=862
ajgd 	蓝天	c=22 d=3.80864 t=1007
ajt 	蓝	c=1 d=1 t=381
ajtl 	蓝	c=1 d=1 t=1557
ak 	或	c=1 d=1 t=1540
akf 	革	c=7 d=3.71004 t=1318
akft 	或者	c=2 d=1.82283 t=1510
am 	黄	c=1 d=1 t=1131
amgk 	黄豆	c=1 d=1 t=500
amw 	黄	c=2 d=1.85214 t=1057
aqsg 	匹配	c=3 d=1.63586 t=1882
ar 	区	c=1 d=1 t=1668
arke 	区别	c=3 d=1.21896 t=1848
arq 	欧	c=1 d=1 t=82
aru 	艾	c=1 d=1 t=1636
avrq 	切换	c=2 d=1.00027 t=1918
awtg 	花生	c=1 d=1 t=1086
awx 	花	c=2 d=1.1097 t=1038
awyk 	共享	c=4 d=2.44328 t=1904
ayu 	蒂	c=1 d=1 t=509
b 	了	c=20 d=4.99376 t=1800
bb 	子	c=2 d=1.00664 t=1866
bc 	取	c=1 d=1 t=386
bdsw 	随机	c=1 d=1 t=503
bg 	卫	c=1 d=1 t=893
bgjt 	卫星	c=1 d=1 t=41
bgsw 	耳机	c=2 d=1.02732 t=854
bm 	出	c=3 d=1.99001 t=1943
bmgo 	出来	c=1 d=1 t=356
bn 	也	c=6 d=2.33523 t=1751
bnjg 	也是	c=1 d=1 t=1910
bnsv 	也要	c=1 d=1 t=1576
bqad 	隐藏	c=1 d=1 t=1845
br 	孤	c=1 d=1 t=1002
brwr 	阿拉伯	c=1 d=1 t=243
bs 	阿	c=1 d=1 t=1116
bsk 	阿	c=1 d=1 t=201
buce 	联通	c=1 d=1 t=237
budy 	联	c=1 d=1 t=543
bukg 	陪	c=2 d=1.99005 t=1720
bush 	联想	c=1 d=1 t=1168
bwbn 	除了	c=1 d=1 t=1211
bwek 	附加	c=1 d=1 t=412
c 	以	c=1 d=1 t=253
cccc 	又	c=1 d=1 t=1033
ccnf 	双层	c=1 d=1 t=621
ccy 	双	c=2 d=1.03996 t=1016
cdce 	能不能	c=3 d=1.02624 t=1649
cdgn 	参与	c=2 d=1.91851 t=1802
cdjv 	参照	c=1 d=1 t=1589
cdov 	参数	c=2 d=1.52994 t=1949
ce 	能	c=2 d=1.15961 t=751
ceqt 	熊猫	c=1 d=1 t=1624
cf 	对	c=3 d=1.19161 t=1740
cff 	圣	c=1 d=1 t=1683
cfxx 	对比	c=1 d=1 t=58
cgfc 	驱动	c=3 d=2.09908 t=428
cgyg 	验证	c=1 d=1 t=1862
cm 	观	c=1 d=1 t=434
cmhk 	观点	c=1 d=1 t=433
cqin 	鸡汤	c=1 d=1 t=973
cyj 	蚤	c=2 d=1.66034 t=1618
d 	在	c=19 d=3.78116 t=1960
db 	顾	c=1 d=1 t=85
dcg 	码	c=2 d=1.00522 t=1105
